[  212935.305630] EV_KEY       BTN_TOUCH            DOWN                
[  212936.042662] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.042664] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.042667] EV_SYN       SYN_REPORT           00000000            
[  212936.052581] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.052601] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.052603] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.052606] EV_ABS       ABS_MT_POSITION_X    00000589            
[  212936.052609] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.052611] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.052614] EV_SYN       SYN_REPORT           00000000            
[  212936.062573] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.062600] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.062603] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.062605] EV_ABS       ABS_MT_POSITION_X    00000590            
[  212936.062607] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.062610] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.062613] EV_SYN       SYN_REPORT           00000000            
[  212936.072560] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.072591] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.072594] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.072596] EV_ABS       ABS_MT_POSITION_X    00000594            
[  212936.072599] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.072601] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.072604] EV_SYN       SYN_REPORT           00000000            
[  212936.082507] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.082530] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.082532] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.082535] EV_ABS       ABS_MT_POSITION_X    00000597            
[  212936.082537] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.082540] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.082543] EV_SYN       SYN_REPORT           00000000            
[  212936.092482] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.092497] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.092500] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.092502] EV_ABS       ABS_MT_POSITION_X    0000059a            
[  212936.092505] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.092507] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.092509] EV_SYN       SYN_REPORT           00000000            
[  212936.102490] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.102517] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.102520] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.102522] EV_ABS       ABS_MT_POSITION_X    0000059c            
[  212936.102525] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.102527] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.102531] EV_SYN       SYN_REPORT           00000000            
[  212936.112444] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.112474] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.112477] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.112479] EV_ABS       ABS_MT_POSITION_X    0000059e            
[  212936.112482] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.112484] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.112487] EV_SYN       SYN_REPORT           00000000            
[  212936.122388] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.122403] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212936.122406] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212936.122408] EV_ABS       ABS_MT_POSITION_X    000005a0            
[  212936.122411] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.122413] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.122415] EV_SYN       SYN_REPORT           00000000            
[  212936.132373] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.132400] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.132403] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.132405] EV_ABS       ABS_MT_POSITION_X    000005a2            
[  212936.132408] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.132410] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.132413] EV_SYN       SYN_REPORT           00000000            
[  212936.142435] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.142464] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.142467] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.142470] EV_ABS       ABS_MT_POSITION_X    000005a4            
[  212936.142472] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.142475] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.142478] EV_SYN       SYN_REPORT           00000000            
[  212936.152303] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.152326] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.152329] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.152332] EV_ABS       ABS_MT_POSITION_X    000005a5            
[  212936.152334] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.152337] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.152340] EV_SYN       SYN_REPORT           00000000            
[  212936.162281] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.162309] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.162312] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.162314] EV_ABS       ABS_MT_POSITION_X    000005a6            
[  212936.162317] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.162319] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.162322] EV_SYN       SYN_REPORT           00000000            
[  212936.172281] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.172308] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.172311] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.172313] EV_ABS       ABS_MT_POSITION_X    000005a8            
[  212936.172316] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.172318] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.172321] EV_SYN       SYN_REPORT           00000000            
[  212936.182224] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.182248] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.182251] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.182253] EV_ABS       ABS_MT_POSITION_X    000005a9            
[  212936.182256] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.182258] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.182261] EV_SYN       SYN_REPORT           00000000            
[  212936.192199] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.192214] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.192216] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.192219] EV_ABS       ABS_MT_POSITION_X    000005ab            
[  212936.192222] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.192224] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.192226] EV_SYN       SYN_REPORT           00000000            
[  212936.202217] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.202247] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.202250] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.202252] EV_ABS       ABS_MT_POSITION_X    000005ac            
[  212936.202255] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.202258] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.202261] EV_SYN       SYN_REPORT           00000000            
[  212936.212130] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.212159] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.212162] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.212165] EV_ABS       ABS_MT_POSITION_X    000005ad            
[  212936.212167] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.212170] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.212174] EV_SYN       SYN_REPORT           00000000            
[  212936.222099] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.222115] EV_ABS       ABS_MT_TOUCH_MAJOR   00000080            
[  212936.222118] EV_ABS       ABS_MT_PRESSURE      00000080            
[  212936.222121] EV_ABS       ABS_MT_POSITION_X    000005ae            
[  212936.222123] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.222126] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.222128] EV_SYN       SYN_REPORT           00000000            
[  212936.242691] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.242725] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.242727] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.242730] EV_ABS       ABS_MT_POSITION_X    000005af            
[  212936.242733] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.242735] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.242738] EV_SYN       SYN_REPORT           00000000            
[  212936.272765] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.272798] EV_SYN       SYN_REPORT           00000000            
