[  212935.305630] EV_KEY       BTN_TOUCH            DOWN                
[  212935.603777] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.603782] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.603788] EV_ABS       ABS_MT_POSITION_X    000004b3            
[  212935.603793] EV_ABS       ABS_MT_POSITION_Y    000001ef            
[  212935.603798] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.603802] EV_SYN       SYN_REPORT           00000000            
[  212935.612304] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.612321] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.612323] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.612326] EV_ABS       ABS_MT_POSITION_X    000004b9            
[  212935.612329] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.612332] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.612335] EV_SYN       SYN_REPORT           00000000            
[  212935.622294] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.622325] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.622328] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.622330] EV_ABS       ABS_MT_POSITION_X    000004be            
[  212935.622333] EV_ABS       ABS_MT_POSITION_Y    000001ef            
[  212935.622335] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.622337] EV_SYN       SYN_REPORT           00000000            
[  212935.632274] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.632303] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.632306] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.632309] EV_ABS       ABS_MT_POSITION_X    000004c2            
[  212935.632311] EV_ABS       ABS_MT_POSITION_Y    000001ef            
[  212935.632314] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.632317] EV_SYN       SYN_REPORT           00000000            
[  212935.642773] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.642788] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.642790] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.642793] EV_ABS       ABS_MT_POSITION_X    000004c6            
[  212935.642796] EV_ABS       ABS_MT_POSITION_Y    000001ef            
[  212935.642798] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.642800] EV_SYN       SYN_REPORT           00000000            
[  212935.652737] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.652764] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.652766] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.652769] EV_ABS       ABS_MT_POSITION_X    000004c9            
[  212935.652772] EV_ABS       ABS_MT_POSITION_Y    000001ee            
[  212935.652774] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.652777] EV_SYN       SYN_REPORT           00000000            
[  212935.662706] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.662722] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.662725] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.662728] EV_ABS       ABS_MT_POSITION_X    000004cd            
[  212935.662730] EV_ABS       ABS_MT_POSITION_Y    000001ee            
[  212935.662732] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.662735] EV_SYN       SYN_REPORT           00000000            
[  212935.672685] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.672716] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.672719] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.672721] EV_ABS       ABS_MT_POSITION_X    000004cf            
[  212935.672724] EV_ABS       ABS_MT_POSITION_Y    000001ee            
[  212935.672726] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.672728] EV_SYN       SYN_REPORT           00000000            
[  212935.682649] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.682672] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.682674] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.682677] EV_ABS       ABS_MT_POSITION_X    000004d3            
[  212935.682679] EV_ABS       ABS_MT_POSITION_Y    000001ed            
[  212935.682682] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.682684] EV_SYN       SYN_REPORT           00000000            
[  212935.692667] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.692692] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.692695] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.692698] EV_ABS       ABS_MT_POSITION_X    000004d7            
[  212935.692700] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.692703] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.692705] EV_SYN       SYN_REPORT           00000000            
[  212935.702593] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.702627] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.702629] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.702632] EV_ABS       ABS_MT_POSITION_X    000004df            
[  212935.702635] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.702637] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.702640] EV_SYN       SYN_REPORT           00000000            
[  212935.712548] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.712567] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.712569] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.712572] EV_ABS       ABS_MT_POSITION_X    000004e6            
[  212935.712574] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212935.712577] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.712579] EV_SYN       SYN_REPORT           00000000            
[  212935.722518] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.722538] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.722541] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.722544] EV_ABS       ABS_MT_POSITION_X    000004ec            
[  212935.722546] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212935.722548] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.722551] EV_SYN       SYN_REPORT           00000000            
[  212935.732510] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.732538] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.732540] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.732543] EV_ABS       ABS_MT_POSITION_X    000004f3            
[  212935.732545] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.732548] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.732551] EV_SYN       SYN_REPORT           00000000            
[  212935.742487] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.742502] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.742505] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.742507] EV_ABS       ABS_MT_POSITION_X    000004f7            
[  212935.742510] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.742512] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.742515] EV_SYN       SYN_REPORT           00000000            
[  212935.752466] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.752496] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.752499] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.752501] EV_ABS       ABS_MT_POSITION_X    000004fb            
[  212935.752504] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.752506] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.752509] EV_SYN       SYN_REPORT           00000000            
[  212935.762420] EV_ABS       ABS_MT_TRACKING_ID   00000000            
